 aaaammgghhpp  ARGE00   ARME00   ARRE00   AVET00   BOAT00   CARA00   CAST00   CERU00   CERV00   ERRO00   IMPE00   LEIR00   LERO00   LETI00   MARE00   MERETA   MERU00   MOLIBR   NERV00   PANESI   POLC00   PORA00   POSARA   POSLEV   PRIN00   QUIL00   RECC00   ROSSIG   SCIU00   SEGN00   SLOR00   TANA00   TEIR00   TIGLIE   VARA00   VCRO00   SANS00   CHIA00   BISA00   STRL00   NRVI00   SORI00   RUPI00   GHIA00   AMEF00   TREB00   CRIXIA   CENGIO   VARPEG 
 202010010800     0.00     0.00     0.07    18.72     2.23     0.00     0.00     1.97     0.00     0.00     0.00     2.58     2.03     0.06     0.00    30.89     0.00     0.00     0.00    14.42     9.42     0.00     1.06     1.02     0.00     0.01     1.58     3.88     0.00     0.01     0.00     0.00     0.18     0.56     0.00     0.00     0.01     1.15     6.41     0.92     0.42     0.62     0.10     0.00     3.83    19.49     0.00     0.00     2.14
 202010010900     0.00     0.00     0.07    18.57     2.21     0.00     0.00     1.97     0.00     0.00     0.00     2.55     2.00     0.06     0.00    30.62     0.00     0.00     0.00    14.42     9.38     0.00     1.06     1.04     0.00     0.01     1.57     3.92     0.00     0.01     0.00     0.00     0.17     0.55     0.00     0.00     0.01     1.13     6.36     0.91     0.41     0.61     0.10     0.00     3.88    19.42     0.00     0.00     2.11
 202010011000     0.00     0.00     0.07    18.41     2.19     0.00     0.00     1.95     0.00     0.00     0.00     2.52     1.97     0.06     0.00    30.35     0.00     0.00     0.00    14.41     9.41     0.00     1.05     1.04     0.00     0.01     1.56     3.92     0.00     0.01     0.00     0.00     0.17     0.54     0.00     0.00     0.01     1.11     6.30     0.90     0.41     0.61     0.10     0.00     3.96    19.26     0.00     0.00     2.08
 202010011100     0.00     0.00     0.07    18.29     2.17     0.00     0.00     1.92     0.00     0.00     0.00     2.49     1.94     0.06     0.00    30.03     0.00     0.00     0.00    14.40     9.39     0.00     1.05     1.06     0.00     0.01     1.55     3.97     0.00     0.01     0.00     0.00     0.17     0.53     0.00     0.00     0.01     1.09     6.27     0.89     0.40     0.60     0.10     0.00     4.01    19.14     0.00     0.00     2.06
 202010011200     0.00     0.00     0.07    18.15     2.17     0.00     0.00     1.90     0.00     0.00     0.00     2.45     1.92     0.05     0.00    29.79     0.00     0.00     0.00    14.38     9.40     0.00     1.04     1.06     0.00     0.01     1.53     3.97     0.00     0.01     0.00     0.00     0.17     0.52     0.00     0.00     0.01     1.07     6.24     0.89     0.39     0.59     0.10     0.00     4.02    19.03     0.00     0.00     2.03
 202010011300     0.00     0.00     0.06    17.96     2.17     0.00     0.00     1.87     0.00     0.00     0.00     2.42     1.90     0.05     0.00    29.48     0.00     0.00     0.00    14.48     9.36     0.00     1.05     1.05     0.00     0.01     1.51     3.97     0.00     0.01     0.00     0.00     0.17     0.51     0.00     0.00     0.01     1.06     6.28     0.87     0.39     0.58     0.10     0.00     4.03    18.89     0.00     0.00     2.00
 202010011400     0.00     0.00     0.06    17.76     2.15     0.00     0.00     1.85     0.00     0.00     0.00     2.39     1.88     0.05     0.00    29.12     0.00     0.00     0.00    14.61     9.33     0.00     1.04     1.04     0.00     0.01     1.50     4.02     0.00     0.01     0.00     0.00     0.17     0.50     0.00     0.00     0.01     1.04     6.24     0.86     0.38     0.57     0.09     0.00     4.09    18.74     0.00     0.00     1.97
 202010011500     0.00     0.00     0.06    17.56     2.12     0.00     0.00     1.86     0.00     0.00     0.00     2.36     1.85     0.05     0.00    28.79     0.00     0.00     0.00    14.67     9.31     0.00     1.04     1.04     0.00     0.01     1.48     4.02     0.00     0.01     0.00     0.00     0.17     0.51     0.00     0.00     0.01     1.02     6.19     0.85     0.38     0.56     0.09     0.00     4.14    18.54     0.00     0.00     1.94
 202010011600     0.00     0.00     0.06    17.38     2.10     0.00     0.00     1.83     0.00     0.00     0.00     2.33     1.83     0.05     0.00    28.48     0.00     0.00     0.00    14.67     9.23     0.00     1.04     1.03     0.00     0.01     1.46     4.01     0.00     0.01     0.00     0.00     0.17     0.51     0.00     0.00     0.01     1.00     6.16     0.84     0.37     0.55     0.09     0.00     4.20    18.36     0.00     0.00     1.91
 202010011700     0.00     0.00     0.06    17.23     2.08     0.00     0.00     1.80     0.00     0.00     0.00     2.30     1.80     0.05     0.00    28.14     0.00     0.00     0.56    14.66     9.27     0.00     1.04     1.02     0.00     0.00     1.44     4.00     0.00     0.01     0.00     0.00     0.17     0.50     0.00     0.30     0.01     0.99     6.12     0.83     0.37     0.54     0.13     0.00     4.19    18.20     0.00     0.00     1.89
 202010011800     0.02     0.00     0.06    17.03     4.06     0.00     0.00     1.78     0.00     0.00     0.00     2.27     1.77     0.05     0.00    27.83     0.00     0.00     1.75    16.81     9.25     0.00     1.17     1.09     0.00     0.00     1.52     3.99     0.00     0.01     0.00     0.00     0.17     0.49     0.00     1.43     0.01     0.97     6.06     0.82     0.36     0.53     0.23     0.00     4.18    18.02     0.00     0.00     1.87
 202010011900     0.11     0.38     0.06    16.84     5.44     0.13     0.01     1.75     0.00     0.00     0.00     2.24     1.75     0.05     0.00    27.50     0.11     0.00     1.54    20.14    10.08     0.00     1.30     1.45     0.22     0.00     1.94     4.00     0.00     0.01     0.00     0.00     0.17     0.49     0.00     1.00     0.01     1.18     7.52     1.34     0.56     0.53     0.35     0.00     4.20    17.84     0.00     0.00     1.84
 202010012000     1.54     1.33     0.07    18.64     4.98     0.51     0.01     1.73     0.26     0.00     0.18     2.21     1.72     0.04     0.00    28.60     0.40     0.23     0.59    26.64    12.75     0.00     1.30     1.72     0.27     0.00     3.14     3.98     0.00     0.01     0.00     0.00     0.17     0.48     0.00     0.15     0.01     3.09    12.91     2.11     0.87     1.00     0.38     0.00     4.25    17.83     0.00     0.00     2.52
 202010012100     2.30     0.91     0.07    35.29     5.67     0.52     0.02     1.70     0.12     0.00     0.70     2.20     1.69     0.04     0.00    35.85     0.00     0.08     0.12    33.11    19.89     0.00     1.32     1.58     0.18     0.00     3.98     3.96     0.00     0.01     0.00     0.00     0.16     0.47     0.00     0.04     0.01     6.32    11.76     2.15     0.85     0.96     0.39     0.00     4.25    25.51     0.00     0.00     4.42
 202010012200     2.39     0.49     0.07    71.58     4.38     1.77     0.01     1.68     0.05     0.00     3.18     2.17     1.67     0.04     0.00    56.15     0.04     0.00     0.21    47.37    31.91     0.00     1.48     1.81     0.08     0.00     3.67     3.94     0.00     0.01     0.15     0.00     0.16     0.46     0.00     0.18     0.01     5.76    17.65     2.84     1.56     1.72     0.30     0.01     5.11    57.80     0.00     0.00     5.09
 202010012300     1.98     0.49     0.07   101.56     5.01     1.61     0.01     1.67     0.31     0.00     3.02     2.15     1.65     0.04     0.00    88.98     0.07     0.00     0.43    56.85    34.09     0.00     1.34     1.40     0.14     0.00     5.19     4.05     0.00     0.01     0.13     0.00     0.97     0.46     0.00     0.48     0.01     3.64    24.18     4.75     1.62     1.73     0.36     0.02    10.31   103.56     0.00     0.00     3.47
 202010020000     0.18     0.57     0.14   101.90     5.93     1.04     0.04     1.66     0.22     0.00     0.42     2.24     1.68     0.04     0.00   102.12     0.03     0.00     0.22    64.41    32.31     0.00     1.67     1.56     0.00     0.00     5.30     4.31     0.00     0.01     0.00     0.00     0.52     0.53     0.00     0.03     0.01     3.90    33.82     4.53     1.69     2.04     0.46     0.02    14.18   154.88     0.00     0.00     3.85
 202010020100     0.01     0.00     0.08   118.57    11.98     0.96     0.18     2.75     0.01     0.00     0.02     2.43     1.60     0.04     0.00   116.35     0.03     0.01     0.02    74.48    32.69     0.00     5.41     2.73     0.00     0.00     9.89     5.19     0.00     0.01     0.00     0.00     0.27     0.60     0.00     0.00     0.01     4.33    34.81     6.47     5.12     7.64     1.28     0.17    17.21   177.52     0.00     0.00     5.01
 202010020200     0.00     0.00     0.08   135.10    31.92     0.71     0.13     1.84     0.01     0.00     0.03     2.50     1.58     0.04     0.00   156.95     0.03     0.01     0.00   116.81    42.72     0.00    15.21     9.81     0.00     0.00    22.09     5.17     0.00     0.01     0.00     0.00     0.24     0.74     0.00     0.00     0.01     3.49    45.90    11.00     6.58     8.33     4.49     0.28    22.76   191.13     0.00     0.00     5.39
 202010020300     0.00     0.00     0.08   205.69    57.86     0.36     1.14     1.72     0.03     0.00     0.03     2.29     1.55     0.04     0.00   156.92     0.03     0.01     0.01   227.53    40.29     0.00    29.79    21.41     0.00     0.00    22.55     4.97     0.00     0.01     0.00     0.00     0.24     0.55     0.00     0.00     0.01     2.87    63.38     8.42     5.30     6.80    13.07     0.27    30.82   220.51     0.00     0.00     3.95
 202010020400     0.00     0.00     0.07   381.78    41.03     0.00     3.28     1.67     0.03     0.00     0.06     2.13     1.53     0.04     0.00   151.81     0.03     0.01     0.04   563.40    31.09     0.00   135.38    79.78     0.00     0.00    12.23     4.93     0.00     0.01     0.00     0.00     0.23     0.57     0.00     0.00     0.01     2.52    59.98     5.90     2.28     3.72    22.00     0.54    44.68   233.30     0.00     0.00     2.88
 202010020500     0.02     0.00     0.08   529.62    25.15     0.10     4.17     1.64     0.06     0.00     0.11     2.05     1.51     0.04     0.00   138.06     0.04     0.01     0.04   837.71    23.73     0.00   259.81   109.85     0.00     0.00     8.77     4.89     0.00     0.00     0.00     0.00     0.24     0.51     0.00     0.01     0.01     2.27    41.00     4.52     1.18     2.93    15.15     0.52    57.41   210.64     0.00     0.00     2.53
 202010020600     0.03     0.02     0.12   511.45    19.17     0.08     3.57     1.64     0.15     0.00     0.12     2.08     1.59     0.16     0.00   121.04     0.08     0.03     0.48   819.14    20.85     0.00   293.74   102.91     0.00     0.02     8.58     4.77     0.00     0.04     0.03     0.00     0.48     0.51     0.00     0.37     0.04     2.51    26.58     2.95     1.30     2.35     6.39     0.32    79.24   168.19     0.00     0.00     2.75
 202010020700     0.21     0.03     0.34   414.27    26.91     0.98     3.68     4.42     1.19     0.03     4.26     6.19     3.37     0.48     0.00   108.41     0.50     0.13     2.54   616.26    24.54     0.00   227.22    70.59     0.20     0.12    16.50     6.35     0.00     0.24     0.20     0.00     1.24     0.82     0.00     2.26     0.11     5.40    28.51     7.20     6.02     7.59     4.58     0.23   114.46   149.60     0.00     0.00     6.70
 202010020800     0.87     0.18     2.19   381.13    47.93     0.38     2.63    13.35     1.63     0.76     5.44    15.31    11.60     2.55     0.47   121.48     1.78     1.82     4.72   463.45    57.23     0.21   140.11    38.94     0.71     0.86    36.35    24.01     0.37     1.38     0.17     0.00     6.06     5.24     0.58     4.28     1.48     7.06    63.09    17.87     9.37    11.45     4.98     0.22   148.94   197.65     0.00     0.00    17.52
 202010020900     2.03     1.52     4.99   420.90    40.61     0.07     1.52    21.06     0.57     1.20     1.68    14.68    18.69     2.25     0.61   151.79     0.75     3.56     4.08   472.95    95.50     0.66    74.36    18.91     0.38     1.47    32.66    56.34     0.10     1.14     0.01     0.00     5.55    15.33     0.42     1.09     0.86     5.85    94.66    15.54     7.84    10.32     4.31     0.22   195.00   355.49     0.00     0.27    16.15
 202010021000     6.63     1.86     1.98   487.87    24.04     0.14     1.13     9.09     0.28     0.87     1.02     8.32     7.33     0.86     0.13   186.67     0.21     2.00     5.22   591.39    85.04     0.00    36.50     9.56     0.30     0.60    18.61    42.57     0.04     0.37     0.03     0.00     1.50    12.88     0.00     0.07     0.21     4.62    93.71    11.04     3.78     7.00     3.31     0.25   333.99   491.12     2.42     0.24     8.05
 202010021100     9.95     0.82     0.95   451.23    17.16     0.25     1.14     7.09     0.28     0.68     0.62     7.29     5.35     0.79     0.23   209.76     0.19     1.36     6.59   580.57    55.16     0.13    18.69     6.94     0.46     0.26    12.67    32.17     0.00     0.23     0.12     0.00     1.51    12.70     0.10     0.00     0.31     4.74    72.84     9.18     1.95     4.34     2.66     0.25   677.28   461.26     8.54     0.22     5.79
 202010021200     8.58     0.52     0.50   324.34    10.97     0.13     0.71     4.95     0.08     0.05     0.93     5.94     3.55     0.25     0.17   223.26     0.04     2.37     4.12   418.09    41.60     0.08    11.36     5.13     1.13     0.05     7.85    24.91     0.00     0.00     0.11     0.00     0.62    10.07     0.01     0.00     0.24     3.29    45.75     4.65     0.71     1.67     0.85     0.11   810.07   351.16     5.70     0.50     6.37
 202010021300     5.06     0.40     0.20   201.30     5.70     0.12     0.40     0.71     0.00     0.00     0.97     1.40     1.69     0.06     0.00   189.05     0.00     1.10     1.41   236.39    28.63     0.00     4.29     1.85     1.42     0.03     1.85    13.51     0.00     0.00     0.02     0.00     0.11     4.63     0.00     0.00     0.00     1.75    25.04     1.24     0.26     0.53     0.34     0.00   676.55   229.59     3.62     0.50     2.26
 202010021400     0.79     0.37     0.00   107.36     4.48     0.06     0.22     0.22     0.00     0.00     0.68     0.80     0.93     0.00     0.00   125.56     0.00     1.34     0.37   111.03    11.46     0.00     1.89     0.78     0.23     0.00     0.42     6.57     0.00     0.00     0.00     0.00     0.07     2.23     0.00     0.00     0.00     1.09     8.38     0.32     0.00     0.19     0.12     0.00   534.59   121.50     1.64     0.46     0.41
 202010021500     0.00     0.00     0.00    46.81     2.37     0.06     0.06     0.10     0.00     0.00     0.28     0.21     0.30     0.00     0.00    74.85     0.00     3.11     0.03    41.05     4.94     0.00     0.70     0.31     0.00     0.00     0.16     3.52     0.00     0.00     0.00     0.00     0.00     0.92     0.00     0.00     0.00     0.52     2.78     0.05     0.00     0.10     0.02     0.00   408.88    56.49     1.25     0.37     0.05
