 aaaammgghhpp  FERRAN   ARGE01   CALAMA   LAPRES   NERV01   PBATTO   STUR00   IMPTRE   ARRO01   PENNEV   ACQULE   SECCPO   PONTEX   LAVA01   TREB01   SCRBUS   CARCAR   STSGIU 
 202202100800     0.00     0.00    33.06     2.92     0.01    42.50     8.20     0.00     0.00     0.00     0.82     1.22     2.11    10.24     3.93    13.58     0.00     0.09
 202202100900     0.00     0.00    33.12     2.89     0.01    42.10     8.13     0.00     0.00     0.00     0.81     1.22     2.13    10.17     3.89    13.42     0.00     0.09
 202202101000     0.00     0.00    32.77     1.55     0.01    40.91     7.79     0.00     0.00     0.00     0.39     0.85     1.64     9.55     2.25    12.58     0.00     0.05
 202202101100     0.00     0.00    27.65     0.17     0.00    35.10     3.63     0.00     0.00     0.00     0.06     0.23     0.14     6.67     0.83     9.71     0.00     0.02
 202202101200     0.00     0.00    20.33     0.02     0.00    27.83     0.53     0.00     0.00     0.00     0.02     0.16     0.00     2.75     0.56     3.81     0.00     0.00
 202202101300     0.00     0.00     9.65     0.00     0.00    20.55     0.12     0.00     0.00     0.00     0.00     0.04     0.00     0.22     0.27     1.26     0.00     0.00
 202202101400     0.00     0.00     2.56     0.00     0.00    12.09     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.05     0.17     0.54     0.00     0.00
 202202101500     0.00     0.00     1.03     0.00     0.00     4.37     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.26     0.00     0.00
 202202101600     0.00     0.00     0.50     0.00     0.00     1.38     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.03     0.09     0.00     0.00
 202202101700     0.00     0.00     0.26     0.00     0.00     0.56     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202101800     0.00     0.00     0.15     0.00     0.00     0.21     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202101900     0.00     0.00     0.10     0.00     0.00     0.12     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202102000     0.00     0.00     0.06     0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202102100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202102200     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202102300     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202110000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202110100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
