aaaammgghhpp	FERRAN	ARGE01	CALAMA	LAPRES	NERV01	PBATTO	STUR00	IMPTRE	ARRO01	PENNEV	ACQULE	SECCPO	PONTEX	LAVA01	TREB01	SCRBUS	CARCAR	STSGIU	
202202101400	0.15	0.00	2.74	0.00	0.00	12.14	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.08	0.17	0.54	0.00	0.00	
202202101500	0.15	0.00	1.20	0.00	0.00	4.42	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.03	0.10	0.26	0.00	0.00	
202202101600	0.15	0.00	0.66	0.00	0.00	1.43	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.03	0.03	0.09	0.00	0.00	
202202101700	0.15	0.00	0.41	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.03	0.00	0.00	0.00	0.00	
202202101800	0.15	0.00	0.29	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.03	0.00	0.00	0.00	0.00	
202202101900	0.15	0.00	0.23	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00	0.00	0.00	0.00	
202202102000	0.15	0.00	0.18	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00	0.00	0.00	0.00	
202202102100	0.15	0.00	0.11	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00	0.00	0.00	0.00	
202202102200	0.15	0.00	0.11	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00	0.00	0.00	0.00	
202202102300	0.15	0.00	0.10	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00	0.00	0.00	0.00	
202202110000	0.15	0.00	0.10	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00	0.00	0.00	0.00	
202202110100	0.15	0.00	0.09	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00	0.00	0.00	0.00	
