 aaaammgghhpp  ARGE00   ARME00   ARRE00   AVET00   BOAT00   CARA00   CAST00   CERU00   CERV00   ERRO00   IMPE00   LEIR00   LERO00   LETI00   MARE00   MERETA   MERU00   MOLIBR   NERV00   PANESI   POLC00   PORA00   POSARA   POSLEV   PRIN00   QUIL00   RECC00   ROSSIG   SCIU00   SEGN00   SLOR00   TANA00   TEIR00   TIGLIE   VARA00   VCRO00   SANS00   CHIA00   BISA00   STRL00   NRVI00   SORI00   RUPI00   GHIA00   AMEF00   TREB00   CRIXIA   CENGIO   VARPEG 
 202202090000     0.00     0.00     0.01    21.21     2.20     0.00     0.15     0.81     0.00    11.66     0.01     1.54     0.17     0.06     0.00    33.25     0.00     0.01     0.02    32.04     4.38     0.00     2.50     0.68     0.00     0.01     2.08     9.71     0.00     0.01     0.00     0.00     0.05     6.77     0.00     0.00     0.11     0.69     8.36     0.90     0.49     0.86     0.06     0.04    75.66    17.97     0.00     0.00     1.90
 202202090100     0.00     0.00     0.01    21.41     2.18     0.00     0.14     0.80     0.00    11.71     0.01     1.54     0.17     0.06     0.00    33.10     0.00     0.01     0.02    32.22     4.41     0.00     2.48     0.67     0.00     0.01     2.06     9.63     0.00     0.01     0.00     0.00     0.05     6.66     0.00     0.00     0.14     0.70     8.38     0.89     0.48     0.85     0.06     0.04    77.92    18.04     0.00     0.00     1.88
 202202090200     0.00     0.00     0.01    21.57     2.18     0.00     0.14     0.79     0.00    11.72     0.01     1.57     0.17     0.06     0.00    33.00     0.00     0.01     0.02    32.61     4.41     0.00     2.49     0.66     0.00     0.01     2.04     9.52     0.00     0.01     0.00     0.00     0.05     6.58     0.00     0.00     0.14     0.71     8.37     0.88     0.48     0.83     0.06     0.04    79.80    18.14     0.00     0.00     1.86
 202202090300     0.00     0.00     0.01    21.66     2.15     0.00     0.15     0.80     0.00    11.74     0.01     1.56     0.19     0.05     0.00    32.98     0.00     0.01     0.02    32.96     4.45     0.00     2.50     0.65     0.00     0.01     2.03     9.41     0.00     0.01     0.00     0.00     0.05     6.50     0.00     0.00     0.15     0.70     8.37     0.88     0.47     0.82     0.06     0.04    81.47    18.26     0.00     0.00     1.85
 202202090400     0.00     0.00     0.01    21.66     2.13     0.00     0.15     0.80     0.00    11.73     0.01     1.59     0.23     0.05     0.00    32.81     0.00     0.00     0.02    33.17     4.48     0.00     2.56     0.64     0.00     0.00     2.01     9.34     0.00     0.01     0.00     0.00     0.05     6.39     0.00     0.00     0.15     0.71     8.37     0.87     0.46     0.81     0.06     0.04    82.73    18.28     0.00     0.00     1.83
 202202090500     0.00     0.00     0.01    21.55     2.11     0.00     0.14     0.81     0.00    11.74     0.01     1.59     0.27     0.05     0.00    32.52     0.00     0.00     0.02    33.16     4.47     0.00     2.57     0.65     0.00     0.00     1.99     9.26     0.00     0.01     0.00     0.00     0.04     6.30     0.00     0.00     0.15     0.70     8.33     0.86     0.46     0.80     0.06     0.04    83.66    18.28     0.00     0.00     1.83
 202202090600     0.00     0.00     0.01    21.46     2.10     0.00     0.15     0.82     0.00    11.63     0.01     1.60     0.27     0.05     0.00    32.26     0.00     0.00     0.02    33.14     4.44     0.00     2.58     0.68     0.00     0.00     1.97     9.16     0.00     0.01     0.00     0.00     0.04     6.21     0.00     0.00     0.16     0.70     8.28     0.85     0.45     0.79     0.06     0.04    84.56    18.27     0.00     0.00     1.81
 202202090700     0.00     0.00     0.01    21.36     2.09     0.00     0.16     0.82     0.00    11.62     0.01     1.59     0.27     0.05     0.00    31.94     0.00     0.00     0.02    33.07     4.41     0.00     2.59     0.68     0.00     0.00     1.94     9.03     0.00     0.01     0.00     0.00     0.04     6.10     0.00     0.00     0.15     0.71     8.21     0.84     0.44     0.77     0.06     0.04    85.42    18.24     0.00     0.00     1.80
 202202090800     0.00     0.00     0.01    21.29     2.07     0.00     0.16     0.81     0.00    11.51     0.01     1.58     0.29     0.05     0.00    31.62     0.00     0.00     0.02    33.02     4.41     0.00     2.64     0.68     0.00     0.00     1.93     8.91     0.00     0.01     0.00     0.00     0.04     5.99     0.00     0.00     0.15     0.70     8.15     0.83     0.43     0.75     0.06     0.04    86.07    18.13     0.00     0.00     1.80
 202202090900     0.00     0.00     0.01    21.15     2.06     0.00     0.16     0.80     0.00    11.42     0.01     1.56     0.29     0.05     0.00    31.29     0.00     0.00     0.02    32.93     4.41     0.00     2.67     0.67     0.00     0.00     1.91     8.80     0.00     0.01     0.00     0.00     0.04     5.91     0.00     0.00     0.15     0.69     8.06     0.82     0.42     0.74     0.06     0.04    86.59    18.00     0.00     0.00     1.78
 202202091000     0.00     0.00     0.01    21.04     2.04     0.00     0.16     0.79     0.00    11.38     0.01     1.56     0.29     0.05     0.00    30.94     0.00     0.00     0.02    32.87     4.44     0.00     2.65     0.66     0.00     0.00     1.88     8.71     0.00     0.01     0.00     0.00     0.04     5.80     0.00     0.00     0.15     0.69     7.98     0.81     0.42     0.72     0.06     0.04    86.86    17.83     0.00     0.00     1.76
 202202091100     0.00     0.00     0.01    20.95     2.04     0.00     0.17     0.78     0.00    11.27     0.01     1.57     0.31     0.04     0.00    30.59     0.00     0.00     0.02    32.75     4.45     0.00     2.63     0.67     0.00     0.00     1.86     8.60     0.00     0.01     0.00     0.00     0.05     5.70     0.00     0.00     0.14     0.69     7.93     0.81     0.41     0.71     0.06     0.04    87.48    17.70     0.00     0.00     1.74
 202202091200     0.00     0.00     0.01    20.82     2.04     0.00     0.17     0.77     0.00    11.16     0.01     1.57     0.31     0.04     0.00    30.23     0.00     0.00     0.01    32.59     4.44     0.00     2.61     0.67     0.00     0.00     1.83     8.50     0.00     0.01     0.00     0.00     0.05     5.61     0.00     0.00     0.14     0.68     7.87     0.80     0.40     0.70     0.06     0.04    88.04    17.57     0.00     0.00     1.72
 202202091300     0.00     0.00     0.01    20.68     2.03     0.00     0.17     0.77     0.00    11.07     0.01     1.56     0.31     0.04     0.00    29.85     0.00     0.00     0.01    32.41     4.42     0.00     2.59     0.66     0.00     0.00     1.81     8.38     0.00     0.01     0.00     0.00     0.05     5.51     0.00     0.00     0.14     0.67     7.80     0.79     0.40     0.68     0.07     0.04    88.62    17.45     0.00     0.00     1.70
 202202091400     0.00     0.00     0.01    20.51     2.00     0.00     0.17     0.76     0.00    10.96     0.00     1.55     0.31     0.04     0.00    29.50     0.00     0.00     0.01    32.30     4.38     0.00     2.57     0.68     0.00     0.00     1.78     8.26     0.00     0.01     0.00     0.00     0.05     5.42     0.00     0.00     0.14     0.66     7.71     0.78     0.39     0.67     0.06     0.04    89.02    17.33     0.00     0.00     1.67
 202202091500     0.00     0.00     0.01    20.33     1.99     0.00     0.17     0.74     0.00    10.84     0.00     1.54     0.31     0.04     0.00    29.13     0.00     0.00     0.01    32.09     4.39     0.00     2.59     0.67     0.00     0.00     1.76     8.15     0.00     0.01     0.00     0.00     0.05     5.33     0.00     0.00     0.15     0.67     7.62     0.79     0.38     0.66     0.06     0.04    89.16    17.17     0.00     0.00     1.65
 202202091600     0.00     0.00     0.01    20.15     1.97     0.00     0.17     0.74     0.00    10.73     0.00     1.53     0.31     0.04     0.00    28.75     0.00     0.00     0.01    31.89     4.41     0.00     2.60     0.68     0.00     0.00     1.73     8.05     0.00     0.01     0.00     0.00     0.05     5.24     0.00     0.00     0.15     0.66     7.53     0.78     0.38     0.65     0.06     0.04    89.26    17.01     0.00     0.00     1.63
 202202091700     0.00     0.00     0.01    19.96     1.96     0.00     0.16     0.76     0.00    10.64     0.00     1.52     0.31     0.04     0.00    28.38     0.00     0.00     0.01    31.74     4.45     0.00     2.59     0.68     0.00     0.00     1.71     7.93     0.00     0.01     0.00     0.00     0.05     5.16     0.00     0.00     0.15     0.65     7.46     0.77     0.37     0.64     0.06     0.04    89.22    16.84     0.00     0.00     1.60
 202202091800     0.00     0.00     0.01    19.82     1.95     0.00     0.16     0.75     0.00    10.54     0.00     1.50     0.31     0.04     0.00    28.00     0.00     0.00     0.01    31.50     4.47     0.00     2.58     0.68     0.00     0.00     1.69     7.82     0.00     0.01     0.00     0.00     0.05     5.07     0.00     0.00     0.15     0.64     7.38     0.76     0.36     0.63     0.06     0.04    89.27    16.70     0.00     0.00     1.58
 202202091900     0.00     0.00     0.01    19.61     1.92     0.00     0.16     0.74     0.00    10.43     0.00     1.48     0.31     0.04     0.00    27.64     0.00     0.00     0.01    31.22     4.47     0.00     2.55     0.67     0.00     0.00     1.67     7.72     0.00     0.01     0.00     0.00     0.05     4.99     0.00     0.00     0.14     0.63     7.29     0.76     0.36     0.61     0.06     0.04    89.09    16.58     0.00     0.00     1.56
 202202092000     0.00     0.00     0.01    19.40     1.91     0.00     0.16     0.74     0.00    10.33     0.00     1.46     0.32     0.04     0.00    27.28     0.00     0.00     0.01    30.98     4.46     0.00     2.55     0.66     0.00     0.00     1.64     7.61     0.00     0.01     0.00     0.00     0.05     4.90     0.00     0.00     0.14     0.63     7.21     0.75     0.35     0.60     0.06     0.04    88.84    16.42     0.00     0.00     1.54
 202202092100     0.00     0.00     0.01    19.20     1.89     0.00     0.16     0.73     0.00    10.21     0.00     1.46     0.34     0.04     0.00    26.93     0.00     0.00     0.01    30.77     4.45     0.00     2.56     0.67     0.00     0.00     1.62     7.51     0.00     0.01     0.00     0.00     0.05     4.82     0.00     0.00     0.14     0.62     7.12     0.75     0.35     0.59     0.06     0.04    88.68    16.24     0.00     0.00     1.52
 202202092200     0.00     0.00     0.01    19.00     1.87     0.00     0.17     0.72     0.00    10.10     0.00     1.45     0.36     0.04     0.00    26.59     0.00     0.00     0.01    30.53     4.44     0.00     2.55     0.68     0.00     0.00     1.60     7.41     0.00     0.01     0.00     0.00     0.05     4.74     0.00     0.00     0.13     0.61     7.04     0.74     0.34     0.58     0.06     0.04    88.59    16.08     0.00     0.00     1.50
 202202092300     0.00     0.00     0.01    18.82     1.86     0.00     0.17     0.73     0.00     9.98     0.00     1.43     0.36     0.04     0.00    26.27     0.00     0.00     0.01    30.27     4.45     0.00     2.55     0.67     0.00     0.00     1.58     7.30     0.00     0.01     0.00     0.00     0.05     4.66     0.00     0.00     0.13     0.60     6.98     0.73     0.33     0.57     0.06     0.04    88.39    15.90     0.00     0.00     1.49
 202202100000     0.00     0.00     0.01    18.61     1.83     0.00     0.17     0.74     0.00     9.86     0.00     1.41     0.37     0.04     0.00    25.93     0.00     0.00     0.01    30.02     4.44     0.00     2.53     0.66     0.00     0.00     1.56     7.20     0.00     0.00     0.00     0.00     0.05     4.59     0.00     0.00     0.13     0.59     6.90     0.72     0.33     0.56     0.06     0.04    87.94    15.73     0.00     0.00     1.47
 202202100100     0.00     0.00     0.01    18.44     1.81     0.00     0.17     0.73     0.00     9.74     0.00     1.39     0.39     0.04     0.00    25.60     0.00     0.00     0.01    29.77     4.43     0.00     2.51     0.65     0.00     0.00     1.54     7.11     0.00     0.00     0.00     0.00     0.05     4.51     0.00     0.00     0.13     0.58     6.82     0.71     0.32     0.55     0.06     0.04    87.52    15.57     0.00     0.00     1.45
 202202100200     0.00     0.00     0.01    18.24     1.79     0.00     0.17     0.74     0.00     9.64     0.00     1.38     0.40     0.03     0.00    25.29     0.00     0.00     0.01    29.50     4.41     0.00     2.50     0.65     0.00     0.00     1.52     7.02     0.00     0.00     0.00     0.00     0.05     4.43     0.00     0.00     0.12     0.57     6.74     0.70     0.32     0.54     0.06     0.04    87.22    15.39     0.00     0.00     1.43
 202202100300     0.00     0.00     0.01    18.05     1.76     0.00     0.17     0.75     0.00     9.54     0.00     1.36     0.41     0.03     0.00    24.98     0.00     0.00     0.01    29.22     4.41     0.00     2.48     0.64     0.00     0.00     1.49     6.95     0.00     0.00     0.00     0.00     0.05     4.36     0.00     0.00     0.12     0.57     6.66     0.69     0.31     0.53     0.05     0.04    86.95    15.23     0.00     0.00     1.41
 202202100400     0.00     0.00     0.01    17.87     1.74     0.00     0.17     0.75     0.00     9.42     0.00     1.35     0.41     0.03     0.00    24.68     0.00     0.00     0.01    28.94     4.39     0.00     2.45     0.63     0.00     0.00     1.47     6.85     0.00     0.00     0.00     0.00     0.05     4.29     0.00     0.00     0.12     0.56     6.59     0.68     0.30     0.52     0.05     0.04    86.40    15.06     0.00     0.00     1.40
 202202100500     0.00     0.00     0.01    17.70     1.72     0.00     0.18     0.78     0.00     9.31     0.00     1.33     0.41     0.03     0.00    24.38     0.00     0.00     0.01    28.67     4.42     0.00     2.43     0.63     0.00     0.00     1.45     6.75     0.00     0.00     0.00     0.00     0.05     4.22     0.00     0.00     0.11     0.55     6.51     0.67     0.30     0.51     0.05     0.04    85.94    14.90     0.00     0.00     1.38
 202202100600     0.00     0.00     0.01    17.53     1.70     0.00     0.18     0.79     0.00     9.20     0.00     1.31     0.41     0.03     0.00    24.09     0.00     0.00     0.01    28.40     4.41     0.00     2.41     0.63     0.00     0.00     1.43     6.66     0.00     0.00     0.00     0.00     0.05     4.16     0.00     0.00     0.11     0.54     6.43     0.67     0.29     0.50     0.06     0.04    85.53    14.72     0.00     0.00     1.36
 202202100700     0.00     0.00     0.01    17.34     1.67     0.00     0.18     0.78     0.00     9.11     0.00     1.29     0.41     0.03     0.00    23.79     0.00     0.00     0.01    28.11     4.42     0.00     2.38     0.64     0.00     0.00     1.41     6.57     0.00     0.00     0.00     0.00     0.04     4.09     0.00     0.00     0.11     0.53     6.35     0.66     0.29     0.49     0.08     0.04    85.18    14.55     0.00     0.00     1.34
 202202100800     0.00     0.00     0.01    17.17     1.65     0.00     0.18     0.78     0.00     9.01     0.00     1.28     0.41     0.03     0.00    23.49     0.00     0.00     0.01    27.84     4.39     0.00     2.36     0.63     0.00     0.00     1.39     6.48     0.00     0.00     0.00     0.00     0.04     4.02     0.00     0.00     0.11     0.53     6.27     0.65     0.28     0.48     0.08     0.04    84.79    14.38     0.00     0.00     1.32
 202202100900     0.00     0.00     0.01    17.01     1.63     0.00     0.17     0.78     0.00     8.90     0.00     1.27     0.41     0.03     0.00    23.19     0.00     0.00     0.01    27.58     4.35     0.00     2.35     0.63     0.00     0.00     1.37     6.39     0.00     0.00     0.00     0.00     0.04     3.96     0.00     0.00     0.10     0.52     6.19     0.64     0.28     0.48     0.08     0.04    84.52    14.22     0.00     0.00     1.31
 202202101000     0.00     0.00     0.01    16.82     1.61     0.00     0.17     0.77     0.00     8.80     0.00     1.25     0.44     0.03     0.00    22.90     0.00     0.00     0.01    27.31     4.35     0.00     2.34     0.62     0.00     0.00     1.36     6.30     0.00     0.00     0.00     0.00     0.04     3.89     0.00     0.00     0.10     0.51     6.12     0.63     0.27     0.47     0.08     0.04    84.22    14.06     0.00     0.00     1.29
 202202101100     0.00     0.00     0.01    16.64     1.59     0.00     0.17     0.76     0.00     8.69     0.00     1.23     0.44     0.03     0.00    22.61     0.00     0.00     0.01    27.02     4.36     0.00     2.32     0.61     0.00     0.00     1.34     6.22     0.00     0.00     0.00     0.00     0.04     3.83     0.00     0.00     0.10     0.50     6.05     0.62     0.27     0.46     0.08     0.04    83.74    13.90     0.00     0.00     1.27
 202202101200     0.00     0.00     0.01    16.46     1.57     0.00     0.17     0.75     0.00     8.59     0.00     1.22     0.44     0.03     0.00    22.32     0.00     0.00     0.01    26.78     4.37     0.00     2.31     0.61     0.00     0.00     1.32     6.13     0.00     0.00     0.00     0.00     0.04     3.77     0.00     0.00     0.10     0.50     5.98     0.62     0.26     0.45     0.07     0.04    83.24    13.75     0.00     0.00     1.26
 202202101300     0.00     0.00     0.01    16.29     1.55     0.00     0.17     0.74     0.00     8.49     0.00     1.20     0.44     0.03     0.00    22.04     0.00     0.00     0.01    26.54     4.36     0.00     2.29     0.60     0.00     0.00     1.31     6.05     0.00     0.00     0.00     0.00     0.04     3.71     0.00     0.00     0.10     0.49     5.91     0.61     0.26     0.45     0.07     0.04    82.72    13.59     0.00     0.00     1.24
 202202101400     0.00     0.00     0.01    16.11     1.53     0.00     0.17     0.74     0.00     8.38     0.00     1.19     0.44     0.03     0.00    21.77     0.00     0.00     0.01    26.26     4.35     0.00     2.27     0.60     0.00     0.00     1.29     5.96     0.00     0.00     0.00     0.00     0.04     3.65     0.00     0.00     0.09     0.48     5.84     0.60     0.25     0.44     0.07     0.04    82.25    13.44     0.00     0.00     1.22
 202202101500     0.00     0.00     0.01    15.94     1.51     0.00     0.17     0.73     0.00     8.29     0.00     1.18     0.43     0.03     0.00    21.49     0.00     0.00     0.01    25.99     4.34     0.00     2.25     0.59     0.00     0.00     1.27     5.88     0.00     0.00     0.00     0.00     0.04     3.59     0.00     0.00     0.09     0.47     5.76     0.59     0.25     0.43     0.07     0.04    81.84    13.29     0.00     0.00     1.21
 202202101600     0.00     0.00     0.01    15.77     1.50     0.00     0.17     0.72     0.00     8.19     0.00     1.17     0.43     0.03     0.00    21.22     0.00     0.00     0.01    25.72     4.32     0.00     2.23     0.58     0.00     0.00     1.26     5.80     0.00     0.00     0.00     0.00     0.04     3.54     0.00     0.00     0.09     0.47     5.69     0.59     0.24     0.43     0.07     0.04    81.32    13.15     0.00     0.00     1.19
